image,method,found,candidates,nodes_expanded,execution_time_s,final_likelihood_score,search_depth,memory_kb
20690483_1.JPG,BFS_h0,True,9,82,0.0421,0.4786,2,12.84
20690483_1.JPG,Astar_h1,True,9,82,0.0476,0.4786,2,12.63
20690483_1.JPG,Astar_h2,True,9,82,0.0615,0.4786,2,21.55
20690483_2.JPG,BFS_h0,True,120,5000,51.3492,0.5274,2,6839.36
20690483_2.JPG,Astar_h1,True,120,5000,52.2565,0.5274,2,18763.64
20690483_2.JPG,Astar_h2,True,120,5000,90.5442,0.5274,3,17825.11
20690483_3.JPG,BFS_h0,True,120,5000,53.8258,0.6356,2,6710.01
20690483_3.JPG,Astar_h1,True,120,5000,54.2458,0.6356,2,19544.86
20690483_3.JPG,Astar_h2,True,120,5000,93.2732,0.6356,3,15918.35
20690483_4.JPG,BFS_h0,True,120,5000,50.7258,0.5328,2,7218.61
20690483_4.JPG,Astar_h1,True,120,5000,61.1871,0.5328,2,21205.87
20690483_4.JPG,Astar_h2,True,120,5000,94.6381,0.5328,3,17197.23
20690483_5.JPG,BFS_h0,True,120,5000,57.3502,0.6245,2,6977.98
20690483_5.JPG,Astar_h1,True,120,5000,51.635,0.6245,2,20263.54
20690483_5.JPG,Astar_h2,True,120,5000,92.5541,0.6245,3,14476.86
20712533_1.JPG,BFS_h0,True,120,5000,48.4742,0.5388,2,6936.53
20712533_1.JPG,Astar_h1,True,120,5000,53.5321,0.5388,2,19126.51
20712533_1.JPG,Astar_h2,True,120,5000,92.2491,0.5388,3,19020.83
20712533_2.JPG,BFS_h0,True,120,5000,48.6256,0.6012,2,6933.44
20712533_2.JPG,Astar_h1,True,120,5000,50.8133,0.6012,2,19821.25
20712533_2.JPG,Astar_h2,True,120,5000,88.9664,0.6012,3,17747.85
20712533_3.JPG,BFS_h0,True,43,4377,66.201,0.5648,4,432.93
20712533_3.JPG,Astar_h1,True,43,4377,67.6428,0.5648,4,610.66
20712533_3.JPG,Astar_h2,True,43,4377,68.8888,0.5648,4,605.26
20712533_4.JPG,BFS_h0,True,8,86,0.2928,0.5454,4,104.27
20712533_4.JPG,Astar_h1,True,8,86,0.2771,0.5454,4,103.81
20712533_4.JPG,Astar_h2,True,8,86,0.3026,0.5454,4,103.81
20712533_5.JPG,BFS_h0,True,120,5000,49.3113,0.5546,2,6608.1
20712533_5.JPG,Astar_h1,True,120,5000,51.1157,0.5546,2,19212.83
20712533_5.JPG,Astar_h2,True,120,5000,91.7047,0.5546,3,17391.35
20713977_1.JPG,BFS_h0,True,120,5000,49.6725,0.4787,2,5988.43
20713977_1.JPG,Astar_h1,True,120,5000,53.9008,0.4787,2,17116.67
20713977_1.JPG,Astar_h2,True,120,5000,88.1726,0.4787,3,13950.92
20713977_2.JPG,BFS_h0,False,3,10,0.0006,0.0,2,3.58
20713977_2.JPG,Astar_h1,False,3,10,0.0008,0.0,2,3.12
20713977_2.JPG,Astar_h2,False,3,10,0.0019,0.0,2,26.27
20713977_3.JPG,BFS_h0,True,120,5000,50.5379,0.5536,2,6826.88
20713977_3.JPG,Astar_h1,True,120,5000,59.6325,0.5536,2,19751.45
20713977_3.JPG,Astar_h2,True,120,5000,101.9863,0.5536,3,18782.54
20713977_4.JPG,BFS_h0,True,120,5000,53.411,0.5658,2,7163.18
20713977_4.JPG,Astar_h1,True,120,5000,54.088,0.5658,2,21430.98
20713977_4.JPG,Astar_h2,True,120,5000,94.991,0.5658,3,18949.59
20713977_5.JPG,BFS_h0,True,120,5000,52.8616,0.5534,2,6758.29
20713977_5.JPG,Astar_h1,True,120,5000,52.417,0.5534,2,19839.0
20713977_5.JPG,Astar_h2,True,120,5000,92.109,0.5534,3,17290.37
20799262_1.JPG,BFS_h0,True,26,4668,87.268,0.53,4,428.52
20799262_1.JPG,Astar_h1,True,26,4668,88.5914,0.53,4,724.87
20799262_1.JPG,Astar_h2,True,26,4668,89.1756,0.53,4,623.19
20799262_2.JPG,BFS_h0,False,1,2,0.0,0.0,1,1.27
20799262_2.JPG,Astar_h1,False,1,2,0.0,0.0,1,0.62
20799262_2.JPG,Astar_h2,False,1,2,0.0,0.0,1,0.62
20799262_3.JPG,BFS_h0,True,120,5000,50.0649,0.5477,2,6646.08
20799262_3.JPG,Astar_h1,True,120,5000,55.7542,0.5477,2,18943.71
20799262_3.JPG,Astar_h2,True,120,5000,89.9102,0.5477,3,12490.37
20799262_4.JPG,BFS_h0,False,1,2,0.0001,0.0,1,1.27
20799262_4.JPG,Astar_h1,False,1,2,0.0001,0.0,1,0.62
20799262_4.JPG,Astar_h2,False,1,2,0.0,0.0,1,0.62
20799262_5.JPG,BFS_h0,True,32,4897,89.3268,0.5651,4,423.1
20799262_5.JPG,Astar_h1,True,32,4897,89.5462,0.5651,4,709.19
20799262_5.JPG,Astar_h2,True,32,4897,92.9016,0.5651,4,618.88
20801522_1.JPG,BFS_h0,False,3,10,0.0006,0.0,2,3.56
20801522_1.JPG,Astar_h1,False,3,10,0.0007,0.0,2,3.04
20801522_1.JPG,Astar_h2,False,3,10,0.0021,0.0,2,25.13
20801522_2.JPG,BFS_h0,True,120,5000,51.2426,0.5391,2,5989.52
20801522_2.JPG,Astar_h1,True,120,5000,51.3706,0.5391,2,18292.04
20801522_2.JPG,Astar_h2,True,120,5000,98.6951,0.5391,3,16438.33
20801522_3.JPG,BFS_h0,True,120,5000,50.4317,0.5247,2,6730.97
20801522_3.JPG,Astar_h1,True,120,5000,62.0507,0.5247,2,20414.62
20801522_3.JPG,Astar_h2,True,120,5000,87.4251,0.5247,3,13700.41
20801522_4.JPG,BFS_h0,True,22,2343,45.8021,0.526,4,379.05
20801522_4.JPG,Astar_h1,True,22,2343,45.6416,0.526,4,483.11
20801522_4.JPG,Astar_h2,True,22,2343,46.9751,0.526,4,488.96
20801522_5.JPG,BFS_h0,True,120,5000,50.6834,0.511,2,6668.62
20801522_5.JPG,Astar_h1,True,120,5000,53.7899,0.511,2,19442.37
20801522_5.JPG,Astar_h2,True,120,5000,94.8108,0.511,3,14874.3
